sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,precision,recall,f1,executable_precision,executable_recall,executable_f1,executable_rate,parsing_errors_rate,execution_errors_rate
gpt-4o,llama-3-8b,outputs/outputs_1,True,False,False,False,0.6308600055969807,0.48632421614409604,0.4652709321075042,0.6308579810841484,0.4912398921832884,0.4678151572632128,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-3-8b,outputs/outputs_2,True,False,False,False,0.6311717586895662,0.48699132755170116,0.4662442106237043,0.631169732770273,0.4919137466307278,0.468794397690295,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-3-8b,outputs/outputs_3,True,False,False,False,0.6316265195065048,0.48533333333333334,0.4641995645949396,0.6316265195065048,0.49023569023569025,0.4667404202798893,0.99,0.0,0.01
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,True,False,True,0.493913119635663,0.36133333333333334,0.2454154334071906,0.6200204220926958,0.3573487031700288,0.22420023275759438,0.9253333333333333,0.020666666666666667,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,True,False,True,0.4871208655381924,0.3586666666666667,0.2373716315631443,0.6197500290976612,0.35704022988505746,0.22052127297184893,0.928,0.018,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,True,False,True,0.48810385326301636,0.362,0.24642639865067323,0.6009528792551911,0.35724533715925394,0.22398442421806594,0.9293333333333333,0.018,0.05266666666666667
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,True,False,False,0.6199874686716792,0.33066666666666666,0.21705410725475913,0.6200204220926958,0.3573487031700288,0.22420023275759438,0.9253333333333333,0.020666666666666667,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,True,False,False,0.6209214778183341,0.3313333333333333,0.2134756585669908,0.6197500290976612,0.35704022988505746,0.22052127297184893,0.928,0.018,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,True,False,False,0.6023588752819212,0.332,0.2165209514469262,0.6009528792551911,0.35724533715925394,0.22398442421806594,0.9293333333333333,0.018,0.05266666666666667
gpt-4o,llama-3-8b,outputs/outputs_1,True,True,False,False,0.6312629707844544,0.4923282188125417,0.47242721090124234,0.6312609815147949,0.4973045822102426,0.475003813479771,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-3-8b,outputs/outputs_2,True,True,False,False,0.6312629707844544,0.4923282188125417,0.47242721090124234,0.6312609815147949,0.4973045822102426,0.475003813479771,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-3-8b,outputs/outputs_3,True,True,False,False,0.6320993108087478,0.49133333333333334,0.4713461423188833,0.6320993108087478,0.4962962962962963,0.4739173994649031,0.99,0.0,0.01
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,False,True,0.4805999342537804,0.36533333333333334,0.25891071488003586,0.6195983081100183,0.35805243445692886,0.22602487963025045,0.89,0.052,0.058
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,False,True,0.4762405002405003,0.36133333333333334,0.24614396395445026,0.6133437773291245,0.359409594095941,0.22377054352598744,0.9033333333333333,0.038,0.058666666666666666
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_3,False,False,False,True,0.4476966918013344,0.35933333333333334,0.24886760511855802,0.590954258326429,0.3574087862993299,0.2231540420566605,0.8953333333333333,0.05,0.05466666666666667
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,False,False,0.6200125860230393,0.31866666666666665,0.2151521240121484,0.6195983081100183,0.35805243445692886,0.22602487963025045,0.89,0.052,0.058
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,False,False,0.6153847723100864,0.32466666666666666,0.21324185162076473,0.6133437773291245,0.359409594095941,0.22377054352598744,0.9033333333333333,0.038,0.058666666666666666
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_3,False,False,False,False,0.5922773152807002,0.32,0.21186306262827354,0.590954258326429,0.3574087862993299,0.2231540420566605,0.8953333333333333,0.05,0.05466666666666667
gpt-4o,gpt-4o,outputs/outputs_1,False,False,False,False,0.633820561399348,0.46497665110073383,0.4626773560995896,0.6335902149988324,0.5025234318673396,0.482817851620711,0.9252835223482322,0.06470980653769179,0.01000667111407605
gpt-4o,gpt-4o,outputs/outputs_2,False,False,False,False,0.633820561399348,0.46497665110073383,0.4626773560995896,0.6335902149988324,0.5025234318673396,0.482817851620711,0.9252835223482322,0.06470980653769179,0.01000667111407605
gpt-4o,gpt-4o,outputs/outputs_3,False,False,False,False,0.6346637744172171,0.4633333333333333,0.4615465279280247,0.6347294796898426,0.5018050541516246,0.48214990207876174,0.9233333333333333,0.06666666666666667,0.01
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,CoT(GPT-3.5-Turbo),False,0.43342263534308906,0.42549019607843136,0.3573540057766721,,,,,,
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,CoT(GPT-3.5-Turbo),False,0.43342263534308906,0.42549019607843136,0.3573540057766721,,,,,,
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_3,False,False,CoT(GPT-3.5-Turbo),False,0.43342263534308906,0.42549019607843136,0.3573540057766721,,,,,,
