sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,True,False,False,0.21705410725475913,0.22420023275759438,0.35764883159248395,0.3582796733390911,0.9253333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,True,False,False,0.2134756585669908,0.22052127297184893,0.36023451616784885,0.32149980055843635,0.928
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,True,False,False,0.2165209514469262,0.22398442421806594,0.3586728627809509,0.34538547697924016,0.9293333333333333
gpt-4o,llama-3-8b,outputs/outputs_1,True,True,False,True,0.4782418971174126,0.475003813479771,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_2,True,True,False,True,0.4782418971174126,0.475003813479771,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_3,True,True,False,True,0.47716030691820915,0.4739173994649031,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,llama-3-8b,outputs/outputs_1,True,True,False,False,0.47242721090124234,0.475003813479771,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_2,True,True,False,False,0.47242721090124234,0.475003813479771,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_3,True,True,False,False,0.4713461423188833,0.4739173994649031,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,False,False,False,True,0.2707234133639423,0.23754245321038875,0.361629266846497,0.33584488558312264,0.846
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,False,False,False,True,0.2573371055767478,0.2313208713299299,0.3683781437640735,0.29443164747937867,0.854
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,False,False,False,True,0.2634951794560044,0.22923581337663063,0.3632144677784827,0.32653513592307143,0.8486666666666667
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,False,False,False,False,0.2186358480460418,0.23754245321038875,0.361629266846497,0.33584488558312264,0.846
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,False,False,False,False,0.21390239544535478,0.2313208713299299,0.3683781437640735,0.29443164747937867,0.854
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,False,False,False,False,0.21222321506419262,0.22923581337663063,0.3632144677784827,0.32653513592307143,0.8486666666666667
gpt-4o,llama-3-8b,outputs/outputs_1,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-3-8b,outputs/outputs_2,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-3-8b,outputs/outputs_3,False,False,False,True,0.5030140018915831,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-4o,llama-3-8b,outputs/outputs_1,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-3-8b,outputs/outputs_2,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-3-8b,outputs/outputs_3,False,False,False,False,0.4615465279280247,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,False,True,False,True,0.26162321553327966,0.2343392535901555,0.360190687405427,0.3383120813950854,0.8853333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,False,True,False,True,0.2528023520803525,0.22589578813285854,0.36144423943186915,0.32729398012857974,0.884
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,False,True,False,True,0.2530741693201278,0.22698301876978128,0.3624466317066674,0.3197087840969928,0.8866666666666667
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,False,True,False,False,0.22046901936200827,0.2343392535901555,0.360190687405427,0.3383120813950854,0.8853333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,False,True,False,False,0.21349095138331475,0.22589578813285854,0.36144423943186915,0.32729398012857974,0.884
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,False,True,False,False,0.21481529639974462,0.22698301876978128,0.3624466317066674,0.3197087840969928,0.8866666666666667
gpt-4o,llama-3-8b,outputs/outputs_1,False,True,False,True,0.49467551094939616,0.4784294585810935,0.7259205627177303,0.725652106806606,0.9412941961307538
gpt-4o,llama-3-8b,outputs/outputs_2,False,True,False,True,0.49467551094939616,0.4784294585810935,0.7259205627177303,0.725652106806606,0.9412941961307538
gpt-4o,llama-3-8b,outputs/outputs_3,False,True,False,True,0.4942725812203292,0.4771988054031733,0.7254028941507686,0.7372273952462631,0.9413333333333334
gpt-4o,llama-3-8b,outputs/outputs_1,False,True,False,False,0.46292100427904903,0.4784294585810935,0.7259205627177303,0.725652106806606,0.9412941961307538
gpt-4o,llama-3-8b,outputs/outputs_2,False,True,False,False,0.46292100427904903,0.4784294585810935,0.7259205627177303,0.725652106806606,0.9412941961307538
gpt-4o,llama-3-8b,outputs/outputs_3,False,True,False,False,0.46187381252004844,0.4771988054031733,0.7254028941507686,0.7372273952462631,0.9413333333333334
