sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-4o,llama-2-13b,outputs/outputs_2,True,True,False,True,0.5502437631463573,0.5474405189396183,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_3,True,True,False,True,0.5471022675960209,0.544271065407511,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-4o,llama-2-13b,outputs/outputs_1,True,True,False,False,0.5438628880085805,0.5474405189396183,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_2,True,True,False,False,0.5438628880085805,0.5474405189396183,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_3,True,True,False,False,0.5407174389252138,0.544271065407511,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,False,False,True,0.25204377588529686,0.2222930346567455,0.3286300090497808,0.30973189708834004,0.8437735849056603
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,False,False,True,0.24064552981621457,0.21765890539171565,0.3355962543332229,0.2671405412146153,0.8520754716981133
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,False,False,True,0.24458775727380122,0.21512988859869364,0.33156465368223365,0.29375243076590235,0.8452830188679246
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,False,False,False,0.20396063039218243,0.2222930346567455,0.3286300090497808,0.30973189708834004,0.8437735849056603
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,False,False,False,0.20121547273040022,0.21765890539171565,0.3355962543332229,0.2671405412146153,0.8520754716981133
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,False,False,False,0.19858733953505292,0.21512988859869364,0.33156465368223365,0.29375243076590235,0.8452830188679246
